Time (ms) x(pixels) y(pixels)
0		719.03	732.3
16.6667		719.51	732.89
33.3333		714.91	730.57
49.9999		717.64	732.82
66.6665		711.09	732.08
83.3331		713.43	730.51
99.9997		710.01	733.86
116.6663	710.13	731.89
133.3329	715.22	731.8
149.9995	715.44	729
166.6661	712.55	730.14
183.3327	713.97	728.26
199.9993	717.18	728.44
216.6659	719.41	730.73
233.3325	716.16	729.85
249.9991	714.94	731.26
266.6657	713.54	733.54
283.3323	717.82	732.43
299.9989	723.57	734.21
316.6655	716.79	728.41
333.3321	809.93	694.71
349.9987	816.14	671.66
366.6653	821.72	678.53
383.3319	829.19	667.67
399.9985	834.68	662.77
416.6651	827.81	664.65
433.3317	827.74	663.91
449.9983	827.13	660.87
466.6649	822.55	662.03
483.3315	822.13	661.42
499.9981	820.78	660.43
516.6647	823.36	659.24
533.3313	828.73	658.44
549.9979	824.57	656.95
566.6645	814.12	654.45
583.3311	784.11	593.81
599.9977	750.12	577.21
616.6643	756.45	586.32
633.3309	744.56	584.47
649.9975	749.14	598.57
666.6641	748.71	591.92
683.3307	748.06	600.74
699.9973	748.09	599.33
716.6639	746.76	597.32
733.3305	747.54	594.43
749.9971	745.04	595.55
766.6637	743.48	599.43
783.3303	743.05	595.34
799.9969	743.22	598.05
816.6635	740.64	600.77
833.3301	739.68	597.76
849.9967	740.95	724.52
866.6633	640.23	1018.3
883.3299	720.21	951.52
899.9965	723.43	942.75
916.6631	739.63	465.76
933.3297	906.82	587.89
949.9963	759.25	572.64
966.6629	755.76	570.86
983.3295	759.41	568.28
999.9961	763.62	577.79
1016.6627	765.02	598.78
1033.3293	764.62	607.08
1049.9959	765	612.31
1066.6625	764.97	628.93
1083.3291	763.78	630.8
1099.9957	764.92	621.77
1116.6623	764.09	622.87
1133.3289	762.96	626.07
1149.9955	762.42	627.58
1166.6621	753.37	612.15
1183.3287	655.2	452.94
1199.9953	636.75	442.93
1216.6619	632.26	423.1
1233.3285	629.73	427.06
1249.9951	630.25	425.46
1266.6617	630.47	426.4
1283.3283	629.42	424.55
1299.9949	627.79	422.73
1316.6615	627.77	412.8
1333.3281	626.85	375.07
1349.9947	625.48	377.24
1366.6613	621.05	380.6
1383.3279	560.61	514.84
1399.9945	595.15	609.69
1416.6611	598.51	612.58
1433.3277	581.96	617.99
1449.9943	572.45	618.86
1466.6609	575.22	617.69
1483.3275	573.42	617.52
1499.9941	562.87	617.39
1516.6607	562.12	617.66
1533.3273	556.54	618.24
1549.9939	554.41	619.74
1566.6605	557	619.1
1583.3271	562.27	620.41
1599.9937	563.77	620.56
1616.6603	565.7	620.47
1633.3269	549.01	672.14
1649.9935	579.3	621.89
1666.6601	551.94	620.84
1683.3267	552.5	620.17
1699.9933	545.47	617.04
1716.6599	550.99	615.52
1733.3265	551.21	614.28
1749.9931	555.75	617.91
1766.6597	556.99	618.18
1783.3263	590.88	651.52
1799.9929	544.69	717.16
1816.6595	548.85	621.04
1833.3261	549.71	615.46
1849.9927	567.12	622.52
1866.6593	579.91	623.49
1883.3259	576.98	640.11
1899.9925	569.28	634.96
1916.6591	577.76	636.69
1933.3257	575.62	639.73
1949.9923	576.22	651.36
1966.6589	576.91	644.82
1983.3255	579.46	648.46
1999.9921	580.75	649.36
2016.6587	582.11	654.72
2033.3253	575.92	656.98
2049.9919	577.2	663.55
2066.6585	576.02	664.48
2083.3251	575.03	665.89
2099.9917	575.32	671.78
2116.6583	575.29	670.27
2133.3249	575.35	669.93
2149.9915	578.08	672.24
2166.6581	577.46	672.46
2183.3247	577.2	673.76
2199.9913	577.23	672.25
2216.6579	578.72	670.06
2233.3245	577.07	671.95
2249.9911	575.95	669.78
2266.6577	577.36	672.28
